Feature name,Distribution,Reject pvalue,Params,target
228,weibull_min,0.8969418695476845,"(11.59163115576267, -0.8943444477724378, 4.807711328648506)",lesional
229,weibull_min,0.7911916318595233,"(19.414728350788593, -1.3989038368649944, 6.522236408754236)",lesional
230,norm,0.441639420220035,"(6.37752274806231, 0.5116754801750266)",lesional
231,norm,0.6347784004383998,"(9.20962483529674, 0.3076630416764896)",lesional
232,weibull_min,0.6933487564907319,"(22.75533991879921, 3.3512614658821454, 6.063780767723975)",lesional
233,weibull_min,0.42612533631227134,"(14.034392790330585, 4.367878359580767, 2.5388107395932717)",lesional
234,genextreme,0.9151871904817264,"(0.41628333498167813, 5.449194911138391, 0.7067147064276729)",lesional
239,norm,0.5399524633614767,"(3.6975620237054287, 0.4314438592520948)",lesional
240,norm,0.7044561325704939,"(3.2364040514388486, 0.48766004773804844)",lesional
241,genextreme,0.9863917244848681,"(0.4232270047896536, 3.4238697277068884, 0.3180621153593917)",lesional
242,norm,0.6700536455260168,"(5.428067569436228, 0.3498655887104145)",lesional
244,weibull_min,0.9007600426442669,"(172.0132803107415, -43.97298947688795, 50.08334342144147)",lesional
245,norm,0.7703447284155651,"(6.44151985100994, 0.3692682692067849)",lesional
246,weibull_max,0.7115826029368642,"(2.6801606175383164, 4.31635392436779, 1.4039975519257188)",lesional
247,weibull_min,0.7604140535286847,"(7.2157127901639955, 2.3412317146396555, 1.7303973907370356)",lesional
248,weibull_min,0.9864541131655368,"(17.99121357033548, 0.6009266047130657, 4.341325473610133)",lesional
249,norm,0.8991533948132675,"(3.327119535970081, 0.24718137458959422)",lesional
250,norm,0.8941581150081502,"(7.340220682900739, 0.191038567178073)",lesional
251,weibull_min,0.3779922651623887,"(8.041997292864021, 4.793681209734508, 2.745071226001666)",lesional
252,weibull_min,0.8474572066669266,"(10.640390639862634, -0.7074198647940244, 3.6972483889270062)",lesional
253,weibull_min,0.8237090798038438,"(7.2930315531600165, 6.750188593572387, 1.593914381035133)",lesional
255,weibull_min,0.8888250920209733,"(99922384.20458297, -22593914.735094775, 22593920.869135015)",lesional
256,weibull_max,0.990090752796898,"(2.1514355958951477, 4.57265748582613, 1.4408683514088563)",lesional
258,genextreme,0.8344809845964092,"(0.472244315279306, 2.1591002282294642, 0.374095339575396)",lesional
259,weibull_min,0.7003807302400952,"(4.10445846797794, 1.7988597685064276, 2.585716011225844)",lesional
260,weibull_min,0.9021599946258816,"(12.8388106898603, 1.4920558156498211, 4.85921056665346)",lesional
261,norm,0.9560617288098024,"(6.213178752165183, 0.7311938518494914)",lesional
262,norm,0.9888835188719528,"(3.4734172611971488, 0.31285685290755005)",lesional
264,weibull_min,0.9219593631424776,"(4.939201621904408, 4.969800542652727, 1.7339428096599039)",lesional
265,genextreme,0.9889405064490014,"(0.3187530211841142, 6.355210923437101, 0.4775643183966312)",lesional
266,weibull_min,0.7145061872972902,"(28.31510931761943, -7.010343378198021, 9.566994195880977)",lesional
267,weibull_min,0.9647687285039175,"(6.661070864912503, 2.8939224193794733, 3.2426696414391407)",lesional
268,norm,0.9646642495714373,"(2.050857523559577, 0.2968487256925863)",lesional
269,weibull_max,0.9637314110434022,"(2.13579283673704, 3.6463122140928315, 1.1344329353683364)",lesional
270,weibull_min,0.9112611467812858,"(10.567674649935, -1.9331490945350767, 4.8087843328352395)",lesional
271,weibull_min,0.9973348525024118,"(3.9894341287690267, 3.0905273370162956, 1.127264597051206)",lesional
272,norm,0.9515625851977475,"(5.43163251675379, 0.43804397802799594)",lesional
273,weibull_min,0.9866448198223234,"(4.1977130383349355, 4.503788209684775, 1.7496579739921536)",lesional
274,weibull_min,0.8372696872908927,"(8.898910847298705, -2.435819222382517, 6.475144458987823)",lesional
275,weibull_min,0.518224296007802,"(9.562556896675073, 3.867441157157197, 2.275141506029315)",lesional
276,weibull_min,0.8380281335422411,"(40.49888239544332, -8.667707471476145, 14.07294542050872)",lesional
277,weibull_min,0.9881717959596595,"(117.97804321096478, -34.08711077404685, 38.11578508674982)",lesional
278,genextreme,0.6858663252766373,"(0.55310751531809, 6.749339431728162, 0.7461813868179336)",lesional
279,norm,0.8480724412482578,"(8.144007973710155, 0.3430671145766887)",lesional
281,weibull_min,0.9233981403144889,"(11.56391542798815, 1.980981511110162, 3.9188100397232324)",lesional
282,weibull_min,0.838981099821044,"(36.88596929869463, -5.1838904632911245, 10.883735065892758)",lesional
283,weibull_min,0.7161205740443208,"(5.588330499719886, 0.13801586874166932, 3.1254693620971477)",lesional
284,weibull_min,0.8288076474619644,"(10.953376426501425, 0.2584214282877152, 3.178475963959052)",lesional
285,weibull_min,0.7682501295951836,"(8.608146736461235, 2.666177850482512, 2.877525783864175)",lesional
286,weibull_min,0.5584023107145866,"(5.71750801811819, 0.8501013066974429, 2.7777760516553283)",lesional
287,genextreme,0.9968821315869548,"(0.3851419385021373, 4.780640843754249, 0.34381148588867766)",lesional
288,norm,0.4767764395969736,"(4.174972918833476, 0.574542299010918)",lesional
289,norm,0.457109895615597,"(4.657038076259634, 0.3631869205305018)",lesional
290,weibull_max,0.9177072367709009,"(2.149250357221193, 5.65560290951691, 0.4531460268898424)",lesional
291,norm,0.4779259989427965,"(5.142679105324969, 0.2749438996659572)",lesional
292,weibull_min,0.9101507907191435,"(7.497984116380952, 6.476553372518843, 1.6132561491687998)",lesional
294,norm,0.8512059631521828,"(2.5860299826393645, 0.5430262330354149)",lesional
295,genextreme,0.6173161349474673,"(0.4641296992518102, 3.9646850463221837, 0.3077422570108176)",lesional
296,weibull_min,0.3783315760041278,"(10.323456168962505, -0.2569391741441903, 6.1177513070248635)",lesional
297,genextreme,0.9872532589195603,"(0.18285306812704274, 3.128543549409791, 0.5101346861080385)",lesional
298,weibull_min,0.3697248422351346,"(11.160142110637732, -0.5949911944809254, 5.857455049902856)",lesional
299,weibull_min,0.7039338393354071,"(18.936874519809137, 0.33454656874824573, 5.3662869523432395)",lesional
300,genextreme,0.7687544677432283,"(0.520222457529274, 5.564109385688756, 0.33167979418548804)",lesional
301,weibull_min,0.6693214190897443,"(18.72905828606202, -2.473883100343391, 12.967441002857516)",lesional
302,weibull_min,0.998929338173199,"(6.603141721201272, -0.24922942431320821, 2.604472948654143)",lesional
303,norm,0.9832150009946196,"(5.383439919258621, 0.2733978821136458)",lesional
304,weibull_min,0.9062340567354076,"(10.499390325076853, 0.7446631161221058, 4.056157037981144)",lesional
305,weibull_min,0.4322707606875278,"(18.106732496983394, -4.182961618952687, 8.857247770321333)",lesional
